<DOC1004>	车门很溥，关门声音不如帝豪718好听。</DOC1004>
<DOC1183>	至于国产的A6，由于减少了不少配置（主要是发动机），已经和原装的有很大差距，所以上面的网友如此评价也不为过--C级车却是B级车的发动机和配置！</DOC1183>

<DOC1185>	海马的发动机比另两辆车的发动机好，所以就值钱在这里。</DOC1185>

<DOC1186>	桑3000的关门声“咣咣”直响，中华的关门同高档车一样，有种厚重的感觉。</DOC1186>

<DOC1192>	内饰比不上3000型的桑塔纳。</DOC1192>

<DOC1194>	新宝来的品牌效应要高于B50；</DOC1194>

<DOC1202>	相比国产的，噪音稍微就大了点。</DOC1202>

<DOC1218>	和速跑比在0-60公里加速要快但80-120时加速性能不如速跑。</DOC1218>

<DOC1219>	5、配置比夏利好，有MABS、数码仪表。</DOC1219>

<DOC1220>	4，雷堡的做工明显高于XX，朋友的318小毛病很多。</DOC1220>

<DOC1222>	华利与夏利比较：1、车内空间大，有点像MPV。2、驾驶视线好些。</DOC1222>

<DOC1229>	我虽然也不欣赏AUDI，但论档次，A6确实是与BENZE和BMW5在同一水平上。</DOC1229>

<DOC1234>	4、全液晶数字仪表盘，跟威资的一样，感觉很不错的说，价值500元；</DOC1234>

<DOC1239>	但就常用零配件整体而言，凯越的费用比福美来和伊兰特略高。</DOC1239>

<DOC1240>	另外值得一提的是，一汽大众生产的奥迪价钱最高的也有60多万的，而宝来是相对它来说也是低一个档次的车了，有很多朋友说它的价钱高，这也难怪，不过大众车也就是这个价，在国外大众车也是属于高价的车，比日、韩都要高。</DOC1240>

<DOC1241>	骏捷和F3的配置远远高于A3。</DOC1241>

<DOC1247>	风挡玻璃比三厢车的上下长出不少，驾驶视野很好；</DOC1247>

<DOC1248>	另外，偶还发现现在1代明显比2代买的好，最低价9.38W，送装饰。</DOC1248>

<DOC1255>	其实也没有什么可以炫耀的，内饰还不如吉利，只好不让别人看里边。</DOC1255>

<DOC1256>	看看庆铃V6版与陆风的仪表台，除颜色区，没有任何区别。</DOC1256>

<DOC1265>	朗逸比日本车要好些。</DOC1265>

<DOC1271>	性价比要比b5等车强多了。</DOC1271>

<DOC1284>	===我看爱丽舍16V比新捷达要强的多！！</DOC1284>

<DOC1286>	新一代悦动比上一代伊兰特有了长足的进步。</DOC1286>

<DOC1295>	在美国，佳美一直有中级家庭轿车之王的美誉，除了动力性稍逊外，在乘坐舒适，车内噪音等方面都超过了最大的竞争对手雅阁。</DOC1295>

<DOC1296>	帕萨特与世纪星根本没有可比性！！</DOC1296>

<DOC1300>	一、宝来价格合适，在和速腾同配置的情况下，便宜了两万呢。</DOC1300>

<DOC1309>	论外观，抵不上A4，A4外观更漂亮、运动型更突出，配置还全，性能也不错。</DOC1309>

<DOC1314>	奥迪a4呢就是折中一下发动机不如宝马质量不如奔驰。</DOC1314>

<DOC1316>	再说，捷达调座椅真够费劲，还不如昌河面包！</DOC1316>

<DOC1321>	油耗比A5要高。</DOC1321>

<DOC1324>	207CC的身材尺寸（长4037mm、轴距2540mm）比206CC要大出一号。</DOC1324>

<DOC1330>	就是和汽油机宝来相比价格太高。</DOC1330>

<DOC1337>	公司刚买的时候，我有一次机会驾驶了一下，实际驾驶的感受，跟金杯的相差不大，依旧是视野开阔，动力强劲。</DOC1337>

<DOC1344>	就目前同排量的车比，其配置是低的可怜。</DOC1344>

<DOC1350>	也就是说齐瑞性价比比捷达强几万。</DOC1350>

<DOC1356>	（还有所谓的安全性能会比皇冠更高一点，其实安全驾驶最重要，你A6L在安全跟卡车一撞，A6L还不是照样车毁人亡）皇冠省油配置高性价高。</DOC1356>

<DOC1368>	4、安全比夏利好些，据说用的钢板比夏利好，车的侧面有加强钢板。</DOC1368>

<DOC1378>	开起来后，不用刻意去校方向（雅力士需要不停地校方向），转向灯使用手感比雅力士略轻，说不上好坏；</DOC1378>

<DOC1383>	不是前几年了，途安比你好多了。</DOC1383>

<DOC1396>	05款相比04款，最大的改变在车内空间方面，特别是高度，基本没有了04款的压抑感。</DOC1396>

<DOC1402>	两车都试驾过，325动力非凡，320确实差些。</DOC1402>

<DOC1409>	凯越配置也比悦动高些。</DOC1409>

<DOC1410>	老兄，帕撒特是比宝来大，可银子也贵很多啊，再说也比宝来肉。</DOC1410>

<DOC1415>	外型，动力，内饰，油耗，车型都比捷达要优秀。</DOC1415>

<DOC1419>	五、宝来车是低价车里发动机最好的。</DOC1419>

<DOC1423>	而且我觉得它的提速连三箱夏历都不如!</DOC1423>

<DOC1429>	一汽,上汽,二汽的产品质量肯定比同价位甚至略高价位的的韩国货要好!</DOC1429>

<DOC1431>	个人感觉内部空间中控材质座椅都完胜科鲁兹，外形也比较满意，试驾了一下音噪控制的特别好，操控基本满足需要。</DOC1431>

<DOC1433>	个人感觉不出两者动力上的差别，只是加速上能感觉出来比2.0t的mtxjw和6缸的325差一块平心而论，我感觉大多数的驾驶者应该对318和320没有明显感受区别，甚至一点区别感没有。</DOC1433>

<DOC1449>	对于捷达，我承认，质量肯定不如92年的第一代！</DOC1449>

<DOC1457>	功能相比同价格的车子也要好！</DOC1457>

<DOC1470>	请问噪音比富康还大吗?</DOC1470>

<DOC1474>	稍有一点汽车常识的人都知道低转速高扭距的发动机不可能比老式的高转速高扭距的发动机省油。</DOC1474>

<DOC1476>	6、外观和内饰：新宝来外观不如朗逸大气，内饰也不够时尚。</DOC1476>

<DOC1477>	要知道，宝来和宝马都是出自德国大众，德国人是公认的天生造车者，所以这两车具有很多共同点，比如车身的硬朗、动力强、经久耐用等，而不同的也就是配置高低的问题，那么换句话来说，两车之比要看什么样的车型，在德国宝来和宝马的3系产品是同一档次的车，在2001年销售量都胜于宝马3系车，当然，如果跟宝马的7系车比，那是没法比的，因为它们不是同一档次的车，就宝马745IL的价钱就是五、六台的宝来价钱了。</DOC1477>

<DOC1478>	东风本田新CR-V2.0经典版自动档车型比逍客同级别车型价格高出2.3万元。</DOC1478>

<DOC1481>	04款新中华很不错比第一批中华强了很多。</DOC1481>

<DOC1487>	品悠1.6版的前脸比帕萨特好看。</DOC1487>

<DOC1490>	车不够结实，关门时的声音和普通十几万的车差不多，和奥迪、君威和没得比的。</DOC1490>

<DOC1491>	骏捷1.8MT的质量比以前QQ强多了!</DOC1491>

<DOC1493>	它的安全配置较广丰凯美瑞，广州本田高出几个档次。</DOC1493>

<DOC1498>	后来还是觉得普里马好用，排量稍大，虽然尺寸没有凯越大但是车内空间很大，比较疙应凯越的韩国发动机。</DOC1498>

<DOC1499>	【原贴】新浪网友211.150.220.*2004-09-1913:22:45花冠的噪音和减震比宝来强，花冠比广本新雅阁差一点，马自达6比马自达323强，马自达6与宝来噪音、减震差不多。</DOC1499>

<DOC1505>	新CR-V2.0两驱都市版自动挡价格比逍客同级别车型价格高出2万元。</DOC1505>

<DOC1512>	但坐进车内感觉又截然不同，似乎不是一个年代的车型，福美来显得很现代、很舒适，色调的搭配还营造出一种家庭的温馨，与菱帅的内饰水准明显不在一个档次上。　　</DOC1512>

<DOC1514>	丰田新发布的第13代皇冠比现款好看了不少。</DOC1514>

<DOC1521>	而风行的内饰则是灰色的塑料，明显比瑞风低一个档次。</DOC1521>

<DOC1523>	我看皇冠的GOA车身就比奥迪专业。</DOC1523>

<DOC1534>	东风雪铁龙08款C2车型在外形设计上与老款车型相比没有太大区别。</DOC1534>

<DOC1548>	做完保养我就发现发动机声音比平时大，当时就问修理工了。</DOC1548>

<DOC1549>	内饰配置比夏利不是一个档次！</DOC1549>

<DOC1558>	优点：内部空间大，驾驶和乘坐均比轿车舒适；</DOC1558>

<DOC1566>	（不要只看到德国车的一个保险杠是日本车的几倍，德国车需要换保险杠的时候，换成是日本车可能已经报废了！</DOC1566>

<DOC1574>	隔音动力比Lancer、海马3、乐骋、飞度都好些。</DOC1574>

<DOC1584>	一样的东西,看看后备相的支撑铰链,是弹簧的,宝来是液压顶杆的,日本车必须便宜,【原贴】新浪网友218.84.107.*2004-10-0918:39:05阳光比花冠性价比高</DOC1584>

<DOC1591>	5万，配置在国产车里是最高的，奥迪1。</DOC1591>

<DOC1603>	BMW的5系，可以把它看成放大的3系，所以驾驭感觉不如3系好。</DOC1603>

<DOC1605>	劲锐比我以前的小吉利强不不止一百倍。</DOC1605>

<DOC1609>	这款花冠是以台湾花冠为蓝本，改动后卖到中国，我去年去了台湾，看过台湾版花冠的实车，差太远了。</DOC1609>

<DOC1611>	动力方面,还没死踩油门,不敢哦,虽然没磨合期，但还是悠着点，过了二千公里再试试动力吧,但换挡平顺性,还是奔驰C级的好,应该属于挺多的吧,也没跟上奥迪的CVVT变速箱...</DOC1611>

<DOC1618>	就算用奇瑞跟一汽这个品牌相比较不太合理，但从品牌上讲幸福使者绝对是应该比QQ稍微高上那么一点点，服务上其实两个品牌都不怎么样，幸福使者目前跟夏利都是相同的维修站点，夏利维修站的服务态度差相信大家也都有所耳闻，奇瑞的特约维修站态度相对夏利还算好一点，幸福使者的优势是服务网点多，只要是能修夏利的地方都能修幸福使者，全国特约维修站和维修中心、配件库加在一起有288个之多，基本上能平均每个省有10来个特约维修站，奇瑞的维修保养可就没有这么方便了，特约维修站数量少不说，大部分还是刚刚建立的，维修水平还不太稳定，从这</DOC1618>

<DOC1627>	另外佳美的质量优异，故障旅仅次于同门大哥凌志。</DOC1627>

<DOC1630>	刹车比较好,我开过好几款车刹车比皇冠还要好。</DOC1630>

<DOC1631>	电子油门的使用较传统油门更省油，并可提高驾驶安全性与舒适性。</DOC1631>

<DOC1639>	鼓刹是很久以前就已经采用的了，其优点就是价格便宜，而碟刹比起鼓刹成本要高些，但是在刹车效能方面得以提高，现在国际高档车型都全部采用四轮碟刹。</DOC1639>

<DOC1641>	我对plm的内部空间特别看好(这一点比宝来好），关于隔音我想plm与宝来同属经济型车在这方面不可能好到那去------------PLm三排座空间特别看好？</DOC1641>

<DOC1669>	不足：舒适性太差，小座椅子比明仕的沙发差远了；</DOC1669>

<DOC1672>	本人感觉要比05款好。</DOC1672>

<DOC1678>	时速120以上噪音确实不小，但感觉比桑塔纳2000安静。</DOC1678>

<DOC1679>	在零配件及维修工时方面，像三滤、前后大灯、点火线圈、车门体等常用零配件方面，凯越的费用明显比福美来和伊兰特高。</DOC1679>

<DOC1694>	毕竟是自家车，拉着老婆和父母，又不能出去飚车，因此觉得动力完全够用，开起来算很舒服了，如果有钱的话325等大排量的当然很好，但是今天开了新318感觉比试驾车好很多，还是很给力的。</DOC1694>

<DOC1696>	M6是好车难道我还会污蔑它不成本人以前曾有打算买过该车但开过我朋友的车后就断决了买M6的想法隔音是本人最接受不了的还有音响在同类车里没有比它音效再差的了！</DOC1696>

<DOC1697>	要说外观，F3和吉利甚至力帆都比奇瑞的A5强。</DOC1697>

<DOC1704>	而这两辆车带给人的直接区别是：日本车每百公里省1-2个油，每开出一万公里，日本车少花几百块油钱--前提是别有事故，因为一有事故，日本车用于修车甚至换车的综合费用要比德国车高很多。</DOC1704>

<DOC1706>	近光灯大概有100米，亮度一般，与别人回车时，别人的灯光晃得我看不见前面；远光灯可能有300米以远（估计，我也没有量），光线比较柔和，估计也比不过其它一些车的亮度。</DOC1706>

<DOC1723>	板金一班,乘坐象面包车,安全性一班,配置低内饰和面包车一样,价格高.</DOC1723>

<DOC1726>	爱唯欧也是一款不错的小车，价格比爱丽舍稍贵一点，这两款车我都喜欢，该如何选择，诚待各位有经验的师傅、老兄指点指教！</DOC1726>

<DOC1730>	轩日2.0舒适版的避震比我的富康988还要差很多。</DOC1730>

<DOC1731>	不过在发动机的性能方面，夏利要更加稳定一些，吉利汽车感觉需要调试，我的一个朋友买了这个车子，开始用车的时候出现油耗巨（百公里达到8个点以上），噪音大，档位涩等特点，后来到修理厂经过调试以后一切正常，现在已经行驶了3万公里，从来没有被搁在路上。</DOC1731>

<DOC1733>	当然在这个价位上比起某些合资品牌（比如骊威）新普力马那还是厚道多了，应该说性价比是相当不错的。</DOC1733>

<DOC1737>	起步加速比我以前的帕萨特好不少。</DOC1737>

<DOC1742>	4、轮毂：新宝来的五幅不如朗逸7幅好看。</DOC1742>

<DOC1746>	路面的回馈与之前车型相比更加的直接、硬朗。</DOC1746>

<DOC1752>	相比我的同事的别克3。0品质太好了，他的车倒是没有什么大问题，但小问题不断，今天这里卡住了，明天那里不亮了，总是小问题不断。</DOC1752>

<DOC1753>	大家不要争执了,客观地讲,奥迪与双B还有VOLVO属于相同档次,只是奥迪在品牌上略逊于双B!</DOC1753>

<DOC1763>	5动力强劲，丰田的4RB2发动机动力不错，开起来推背感很强，6节能环保是一个亮点，油耗10个，比哥们的轿车福克斯还低，节能品质堪比轿车，哈哈！！</DOC1763>

<DOC1784>	奥迪是高级品牌，这几年的确发展得很快，但影响力、形象、新车型开发等落后双B，每款新车推出都落后双B好长一段时间。</DOC1784>

<DOC1785>	凭我的知识，我觉得２Ｖ技术含量不如５Ｖ，成本应该底一些！</DOC1785>

<DOC1791>	丰田8A的发动机，噪音，油耗都比7101要底。</DOC1791>

<DOC1810>	我敢肯定，中华在北京的占有率绝对比东方之子高。</DOC1810>

<DOC1813>	新飞度的整个驾驶感受比老飞度相差甚远。</DOC1813>

<DOC1815>	感觉如下:较软,车身有些摇晃,不颠簸,舒适性增强,但不如普利司通贴地感强;</DOC1815>

<DOC1840>	但感觉小爱比驾校的车子好开多了，15马4档，25吗5档车一点都不抖。但是感觉4档，5档提速很慢。2档3档深踩油门，加速度很好，有传说中的推背感。5档30几马地盘下有沙沙的响声。</DOC1840>

<DOC1856>	个形不知道是谁设计的，真是丢中国人的脸，跟普桑一样。</DOC1856>

<DOC1861>	中国花冠和美国花冠质量没有区别,只有更好!</DOC1861>

<DOC1869>	吉利内饰做的虽有进步但别忘了夏历的性能还是比吉利车要好,油耗也比吉利底.</DOC1869>

<DOC1881>	这表现在他的车的颜色上，就四种颜色，还没有06款的的颜色多。</DOC1881>

<DOC1889>	1、噪音国产车大于进口车。</DOC1889>

<DOC1890>	只要看过实车的人无不感到做工太烂与威乐相比；</DOC1890>

<DOC1902>	第一感觉，这车比A3开起来显得轻快，加速的感觉明显好于A3CVT，同样三个人，同样开空调，由于是CVT，也就别讲究推背了，两字形容，轻松！</DOC1902>

<DOC1921>	捷达和桑塔纳这两款车型从价格上看，都在7～8万这个价格区间，从技术上看，两款车技术相当，性能相当，空间相当，都没有自动档。</DOC1921>

<DOC1922>	特锐如果四驱自动卖10.98万，还算可以，现在这个价钱绝对是性价比最差的车，有钱人为了炫耀就另当别论了。</DOC1922>

<DOC1923>	二是两车操控性、舒适性、安全性并无大的差别，甚至1.8T的提速感觉更好。</DOC1923>

<DOC1927>	感觉中华乘坐感跟君威有一拼、比蓝鸟强多了！</DOC1927>

<DOC1928>	排量是欧3的，派朗车重1.22吨，可比小鬼子的车重多了。</DOC1928>

<DOC1941>	缺点：价格偏高；做工粗糙；噪音大；极速低，柴油车发动机特点是高转速时扭力不大；主动安全性差；老五十铃发动机加了个增压器，性能及油耗不如德系的柴油机。</DOC1941>

<DOC1948>	外形是卖点从时间上来讲，幸福使者的外形或者说款式，也许是国内所有这些类型的车里面最新的。</DOC1948>

<DOC1953>	合资品牌的可靠性要高于自主品牌，即使B50是在马6的生产线上生产；</DOC1953>

<DOC1958>	空调：都是手动，宝来好些；</DOC1958>

<DOC1965>	晶锐空间比嘉年华大些内饰也好，就是这种外观有点。。。</DOC1965>

<DOC1967>	福美来跟15万以上的车相比,降噪的处理,内饰的精细程度都有不足之处.</DOC1967>

<DOC1969>	车内全部采用深色的内饰，稳重而丝毫不显单调，用料与质感远远高于绝大多数国产SUV，几处圆形的按键和画龙点睛的镀铬点缀再次突出了爱腾的运动风格。</DOC1969>

<DOC1972>	金色之旅的悬挂和底盘与顶级阁瑞斯一般无二.</DOC1972>

<DOC1985>	售价一直处在高位的宝来自不必说，就是与16.68万的伊兰特1.8L自动档、15.98万的凯越1.8LE比起来，1-2万的差价同样凸显出精英级的价格优势。</DOC1985>

<DOC1989>	跟KY相比，FML的经济性比较强些。</DOC1989>

<DOC1993>	性价比比伙伴高！</DOC1993>

<DOC1997>	天线还是手拉的，和奥托车一样，太老。</DOC1997>

<DOC2001>	细心的朋友不难发现，这恰恰与目前一些国产豪华车的底部价位基本吻合。</DOC2001>

<DOC2004>	样子还不如奥迪100。</DOC2004>

<DOC2005>	325比A62.4的档次低，价格在国外也比人家低，在中国为什么反道贵！</DOC2005>

<DOC2007>	乐风油耗跟JD差不多。</DOC2007>

<DOC2031>	BORA的隔音比PST和别克差，比plm强多了。</DOC2031>

<DOC2033>	在行政级豪华车，我选择BENZ的S系列，它无论从外型、舒适度、品牌传统在这个级别中都要高于BMW的7系。尽管我许多朋友买了7系，但我总免不了说他们一顿。　　BMW的5系，可以把它看成放大的3系，所以驾驭感觉不如3系好。</DOC2033>

<DOC2041>	陶瓷刹车片的成本比普通刹车片高出70%。</DOC2041>

<DOC2044>	在北美市场，本田CRV与丰田RAV4在各个配置等级上价格非常接近。</DOC2044>

<DOC2051>	但是从内饰方面以及人性化的过招来看，特拉卡似乎要比爱腾狲色一些啦！</DOC2051>

<DOC2066>	感觉比TJ376的抖动好得多,而且空调降温比LJ465得还好.</DOC2066>

<DOC2069>	君威3.0起步明显优于帕萨特１．８Ｔ手自一体，中途加速两车差不多。</DOC2069>

<DOC2070>	与前代的产品相比，它的操控感明显更能讨好消费者。</DOC2070>

<DOC2071>	我们新捷达前卫在市区百公里耗油8.5个左右开空调时平均要多用一个油,长途时7个油,我很信任捷达车的质量,但就是车型老了点外观相对其它车不是那么流行.</DOC2071>

<DOC2078>	手排1。8T的动力是这样的，起步和上坡一般，与1。8相似。</DOC2078>

<DOC2091>	PK结果阁瑞斯胜在车身便宜量又足，花两万改装或按原版重新装修也物有所值，比时下高档的MPV内饰都高档。</DOC2091>

<DOC2093>	凯旋发动机、变速厢与307一样。</DOC2093>

<DOC2101>	今天本来是去看318的，但是店里没实车，只有款320，销售说车子大小、外观都一样~驾驶感觉也相差不大。</DOC2101>

<DOC2106>	从侧面看，207的前鼻与玛莎拉蒂总裁颇有几分神似。</DOC2106>

<DOC2109>	君威3.0行驶噪音并不明显低于帕萨特１．８Ｔ手自一体，减震也差不多。</DOC2109>

<DOC2110>	时速过140公里时，瑞虎车里的声音跟大众z轿车差不多。</DOC2110>

<DOC2113>	但从实用的角度来讲，我认为全顺比瑞风还是实用。</DOC2113>

<DOC2117>	我今天看了你的留言,去ylt看了一下,确实如此,ylt的配置比hm高很多!</DOC2117>

<DOC2124>	就价格而言，04款福美来精英级的优势较其他对手较为突出。</DOC2124>

<DOC2134>	钱多买BORA1.6,钱少买JETTA,BORA1.6性价比优于Jetta!</DOC2134>

<DOC2140>	我和你的观点一致，除了对其外形特别的欣喜之外，这车实在一般！</DOC2140>

<DOC2145>	而且价格比5系便宜了10万，压力就小点了。</DOC2145>

<DOC2155>	高速行驶时隔音表现还算过得去，但噪音控制始终不如这个级别表现最均衡的佳美。</DOC2155>

<DOC2158>	说实话和30万的入门级豪车相比，马六在操控性上一点儿不吃亏。</DOC2158>

<DOC2159>	如果真是那样的话：不但中国人要哭，连德国人也要哭，因为光光大奔的那个心脏就比小雅阁要贵得多！</DOC2159>

<DOC2166>	现代的品牌比别克的品牌要差很多。</DOC2166>

<DOC2172>	捷达就是样子老态，其他方面绝对比同价车优秀很多。</DOC2172>

<DOC2176>	我很欣赏特拉卡的外形，够狂野个性，不像城市SUV那么温顺。</DOC2176>

<DOC2184>	4空间感比速腾好,前排空间头部不错,后排头部空间局限性一般,偏矮.</DOC2184>

<DOC2185>	行李厢空间都差不多，宝马有460升，奥迪最大，但也只有480升。</DOC2185>

<DOC2188>	但也有不足之处，比如90KM/S过粗砂石路面时，车身的活动连接讲偶尔有“吱吱”声响，这点明显不如帕萨特。</DOC2188>

<DOC2192>	空调制冷比我老爸那辆别克要好多了。</DOC2192>

<DOC2200>	两年前买它时是考虑它有C级车身虽然外型是15年前的但应比新A级车身好。</DOC2200>

<DOC2201>	我于今年7月份购置了1.8L自舒宝来，已开了4400公里，在使用中发现存在以下问题，请解答：5、与其他厂家同一类的车相比，在驾驶室中感觉发动机的声音太响，而且感到越来越响。</DOC2201>

<DOC2236>	优点：空间大，动力也不错，刹车比起东南的得利卡好的多,但是油门比人家的车重.</DOC2236>

<DOC2237>	国外的日系车质量不错而且比欧美同类车便宜一大截！！</DOC2237>

<DOC2246>	瑞虎的风噪和路噪不如爱丽舍。</DOC2246>

<DOC2251>	蒙迪欧已经出来了，配置比中华高得多。</DOC2251>

<DOC2252>	2、大脚比320更漂亮，最低225宽度不错；</DOC2252>

<DOC2255>	驾驶的感觉真不如优力偶,一刹车我的头都快撞顶棚了!</DOC2255>

<DOC2257>	动力、空间、操纵感在10万元以下的车里，没能比上它的。</DOC2257>

<DOC2264>	我用了5年的东南富利卡居然都比赛纳车的空调强。</DOC2264>

<DOC2276>	凯越的内部空间大小和皇冠差不多。</DOC2276>

<DOC2283>	一汽大众的质量要比上海大众强多了。</DOC2283>

<DOC2287>	瑞虎的风噪和路噪比一般越野车要好得多。</DOC2287>

<DOC2294>	第三：如果谈油耗，经实车测试，风行确实比瑞风省油。</DOC2294>

<DOC2305>	与国际同行相比，中国汽车制造业利润过高，甚至可谓“暴利”。</DOC2305>

<DOC2308>	在10——15万车中我看中飞度CVT和捷达SDI，论设计飞度可是10万多元的车中的代表作，吃油少（7-9升），但比起柴油捷达还是大吃了点，所谓省着用，不如用的省。</DOC2308>

<DOC2317>	【原贴】新浪网友222.210.218.*2005-03-0616:55:3805款宝来发动机改为8气门，应该说成本降低了，但车价却比04款上涨了，不知为什么？</DOC2317>

<DOC2330>	这车还不及JL、BYD等国产车啊。</DOC2330>

<DOC2334>	标志的发动机声音很小，不像我的派力奥一加油那个声音之大啊。</DOC2334>

<DOC2337>	先不说款式，就其稳定性、操控性和制动性也都要好于桑3000。</DOC2337>

<DOC2341>	1.6的油耗竟与赛纳2.0相当.</DOC2341>

<DOC2350>	在城市里边生活的话用2气门的还比4气门的好呢,别听那些网友吓忽悠，不懂装懂,2气门还省油,不过在高速上的话,2气门车表现就差点喽~2气门的发动机噪音要比4的小,你有不会去改装车,2V4V都一个样。</DOC2350>

<DOC2351>	奇瑞A1的备件价格要比同级别产品低30%左右。</DOC2351>

<DOC2354>	这些车底盘系统、驾驶性能上都不逊于BMW5系列，因国内价格原因及本人的熟悉程度，我就用大众系列与5系作比较。</DOC2354>

<DOC2359>	在自动模式下，城市起步的确比同级别的车要快。</DOC2359>

<DOC2363>	10，怠速抖动算不上很大，但大多数时候能感觉到怠速抖动，烈度稍低于出租版捷达，也有很偶尔的几次怠速极其安静以至于感觉不到；</DOC2363>

<DOC2366>	聊聊优惠情况，最主要的是，新宝来这车，比我之前预计要买的4款车都要壮实。</DOC2366>

<DOC2368>	可能有的同学要说QQ的发动机是四缸1.1升的，排量更大，夏利的三缸发动机噪音大，运行平顺性不好，其实这是对以上这两款发动机不够了解，要是他开过2年以上的松花江和2年以上的夏利就不会这么说了，夏利发动机买回来噪音多大，开上10多万公里噪音还是多大，可松花江的机器刚买回来噪音很小，开上几万公里之后噪音大、动力减弱、容易发生故障的毛病就都暴露出来了，而且4缸1.1排量的机器功率比三缸0.97的还要小本身就暴露了这款发动机设计的陈旧，如果QQ也用上夏利的这款发动机弄不好还真算个卖点了。</DOC2368>

<DOC2381>	我就不买宝来,又贵不说,配置还不如伊兰特好.</DOC2381>

<DOC2392>	这次马自达推出的2.0发动机采用了全铝结构和可变进气控制系统，最大功率为下35马力，在同级车中处于平均水平，高于帕萨特，低子雅阁和蒙迪欧。</DOC2392>

